id,name,category_slug,category_label,group,image,description
moka-waterproof-light-01,MOKA Pro Outdoor Beam 01,waterproof-light,Waterproof Light,Stage Lights,assets/img/light/02.jpg,"IP-rated housings, sealed optics and touring-ready output for outdoor stages."
moka-beam-light-02,MOKA Tour Beam Moving Head 02,beam-light,Beam Light,Stage Lights,assets/img/light/1.jpg,"Tight aerial beams with fast movement, sharp gobos and high-impact stage presence."
moka-wash-light-03,MOKA Studio Wash Moving Head 03,wash-light,Wash Light,Stage Lights,assets/img/light/100w LED摇头灯 白底图 (1).jpg,"Smooth color mixing and even field coverage for clubs, theaters and event venues."
moka-laser-light-04,MOKA Venue Laser Fixture 04,laser-light,Laser Light,Stage Lights,assets/img/light/5.jpg,"Precise laser effects for programmed shows, DJ sets and immersive installations."
moka-kinetic-light-05,MOKA Matrix Kinetic Light 05,kinetic-light,Kinetic Light,Stage Lights,assets/img/light/02.jpg,Motion-driven fixtures for dynamic ceiling rigs and synchronized show moments.
moka-effect-light-06,MOKA Pro Effect Fixture 06,effect-light,Effect Light,Stage Lights,assets/img/light/1.jpg,"Special effect fixtures that add texture, sparkle and atmosphere to live scenes."
moka-par-light-07,MOKA Tour LED PAR 07,par-light,Par Light,Stage Lights,assets/img/light/100w LED摇头灯 白底图 (1).jpg,"Compact PAR fixtures for reliable uplighting, truss washes and stage fills."
moka-led-dance-floor-08,MOKA Studio Dance Floor Panel 08,led-dance-floor,LED Dance Floor,LED Panels,assets/img/light/5.jpg,Modular LED dance floor systems with durable panels and event-ready visuals.
moka-led-screen-09,MOKA Venue LED Screen Panel 09,led-screen,LED Screen,LED Panels,assets/img/light/02.jpg,Rental-ready LED screen modules for stage backdrops and branded content.
moka-waterproof-light-10,MOKA Matrix Outdoor Beam 10,waterproof-light,Waterproof Light,Stage Lights,assets/img/light/1.jpg,"IP-rated housings, sealed optics and touring-ready output for outdoor stages."
moka-beam-light-11,MOKA Pro Beam Moving Head 11,beam-light,Beam Light,Stage Lights,assets/img/light/100w LED摇头灯 白底图 (1).jpg,"Tight aerial beams with fast movement, sharp gobos and high-impact stage presence."
moka-wash-light-12,MOKA Tour Wash Moving Head 12,wash-light,Wash Light,Stage Lights,assets/img/light/5.jpg,"Smooth color mixing and even field coverage for clubs, theaters and event venues."
moka-laser-light-13,MOKA Studio Laser Fixture 13,laser-light,Laser Light,Stage Lights,assets/img/light/02.jpg,"Precise laser effects for programmed shows, DJ sets and immersive installations."
moka-kinetic-light-14,MOKA Venue Kinetic Light 14,kinetic-light,Kinetic Light,Stage Lights,assets/img/light/1.jpg,Motion-driven fixtures for dynamic ceiling rigs and synchronized show moments.
moka-effect-light-15,MOKA Matrix Effect Fixture 15,effect-light,Effect Light,Stage Lights,assets/img/light/100w LED摇头灯 白底图 (1).jpg,"Special effect fixtures that add texture, sparkle and atmosphere to live scenes."
moka-par-light-16,MOKA Pro LED PAR 16,par-light,Par Light,Stage Lights,assets/img/light/5.jpg,"Compact PAR fixtures for reliable uplighting, truss washes and stage fills."
moka-led-dance-floor-17,MOKA Tour Dance Floor Panel 17,led-dance-floor,LED Dance Floor,LED Panels,assets/img/light/02.jpg,Modular LED dance floor systems with durable panels and event-ready visuals.
moka-led-screen-18,MOKA Studio LED Screen Panel 18,led-screen,LED Screen,LED Panels,assets/img/light/1.jpg,Rental-ready LED screen modules for stage backdrops and branded content.
moka-waterproof-light-19,MOKA Venue Outdoor Beam 19,waterproof-light,Waterproof Light,Stage Lights,assets/img/light/100w LED摇头灯 白底图 (1).jpg,"IP-rated housings, sealed optics and touring-ready output for outdoor stages."
moka-beam-light-20,MOKA Matrix Beam Moving Head 20,beam-light,Beam Light,Stage Lights,assets/img/light/5.jpg,"Tight aerial beams with fast movement, sharp gobos and high-impact stage presence."
moka-wash-light-21,MOKA Pro Wash Moving Head 21,wash-light,Wash Light,Stage Lights,assets/img/light/02.jpg,"Smooth color mixing and even field coverage for clubs, theaters and event venues."
moka-laser-light-22,MOKA Tour Laser Fixture 22,laser-light,Laser Light,Stage Lights,assets/img/light/1.jpg,"Precise laser effects for programmed shows, DJ sets and immersive installations."
moka-kinetic-light-23,MOKA Studio Kinetic Light 23,kinetic-light,Kinetic Light,Stage Lights,assets/img/light/100w LED摇头灯 白底图 (1).jpg,Motion-driven fixtures for dynamic ceiling rigs and synchronized show moments.
moka-effect-light-24,MOKA Venue Effect Fixture 24,effect-light,Effect Light,Stage Lights,assets/img/light/5.jpg,"Special effect fixtures that add texture, sparkle and atmosphere to live scenes."
moka-par-light-25,MOKA Matrix LED PAR 25,par-light,Par Light,Stage Lights,assets/img/light/02.jpg,"Compact PAR fixtures for reliable uplighting, truss washes and stage fills."
moka-led-dance-floor-26,MOKA Pro Dance Floor Panel 26,led-dance-floor,LED Dance Floor,LED Panels,assets/img/light/1.jpg,Modular LED dance floor systems with durable panels and event-ready visuals.
moka-led-screen-27,MOKA Tour LED Screen Panel 27,led-screen,LED Screen,LED Panels,assets/img/light/100w LED摇头灯 白底图 (1).jpg,Rental-ready LED screen modules for stage backdrops and branded content.
moka-waterproof-light-28,MOKA Studio Outdoor Beam 28,waterproof-light,Waterproof Light,Stage Lights,assets/img/light/5.jpg,"IP-rated housings, sealed optics and touring-ready output for outdoor stages."
moka-beam-light-29,MOKA Venue Beam Moving Head 29,beam-light,Beam Light,Stage Lights,assets/img/light/02.jpg,"Tight aerial beams with fast movement, sharp gobos and high-impact stage presence."
moka-wash-light-30,MOKA Matrix Wash Moving Head 30,wash-light,Wash Light,Stage Lights,assets/img/light/1.jpg,"Smooth color mixing and even field coverage for clubs, theaters and event venues."
moka-laser-light-31,MOKA Pro Laser Fixture 31,laser-light,Laser Light,Stage Lights,assets/img/light/100w LED摇头灯 白底图 (1).jpg,"Precise laser effects for programmed shows, DJ sets and immersive installations."
moka-kinetic-light-32,MOKA Tour Kinetic Light 32,kinetic-light,Kinetic Light,Stage Lights,assets/img/light/5.jpg,Motion-driven fixtures for dynamic ceiling rigs and synchronized show moments.
moka-effect-light-33,MOKA Studio Effect Fixture 33,effect-light,Effect Light,Stage Lights,assets/img/light/02.jpg,"Special effect fixtures that add texture, sparkle and atmosphere to live scenes."
moka-par-light-34,MOKA Venue LED PAR 34,par-light,Par Light,Stage Lights,assets/img/light/1.jpg,"Compact PAR fixtures for reliable uplighting, truss washes and stage fills."
moka-led-dance-floor-35,MOKA Matrix Dance Floor Panel 35,led-dance-floor,LED Dance Floor,LED Panels,assets/img/light/100w LED摇头灯 白底图 (1).jpg,Modular LED dance floor systems with durable panels and event-ready visuals.
moka-led-screen-36,MOKA Pro LED Screen Panel 36,led-screen,LED Screen,LED Panels,assets/img/light/5.jpg,Rental-ready LED screen modules for stage backdrops and branded content.
moka-waterproof-light-37,MOKA Tour Outdoor Beam 37,waterproof-light,Waterproof Light,Stage Lights,assets/img/light/02.jpg,"IP-rated housings, sealed optics and touring-ready output for outdoor stages."
moka-beam-light-38,MOKA Studio Beam Moving Head 38,beam-light,Beam Light,Stage Lights,assets/img/light/1.jpg,"Tight aerial beams with fast movement, sharp gobos and high-impact stage presence."
moka-wash-light-39,MOKA Venue Wash Moving Head 39,wash-light,Wash Light,Stage Lights,assets/img/light/100w LED摇头灯 白底图 (1).jpg,"Smooth color mixing and even field coverage for clubs, theaters and event venues."
moka-laser-light-40,MOKA Matrix Laser Fixture 40,laser-light,Laser Light,Stage Lights,assets/img/light/5.jpg,"Precise laser effects for programmed shows, DJ sets and immersive installations."
moka-kinetic-light-41,MOKA Pro Kinetic Light 41,kinetic-light,Kinetic Light,Stage Lights,assets/img/light/02.jpg,Motion-driven fixtures for dynamic ceiling rigs and synchronized show moments.
moka-effect-light-42,MOKA Tour Effect Fixture 42,effect-light,Effect Light,Stage Lights,assets/img/light/1.jpg,"Special effect fixtures that add texture, sparkle and atmosphere to live scenes."
moka-par-light-43,MOKA Studio LED PAR 43,par-light,Par Light,Stage Lights,assets/img/light/100w LED摇头灯 白底图 (1).jpg,"Compact PAR fixtures for reliable uplighting, truss washes and stage fills."
moka-led-dance-floor-44,MOKA Venue Dance Floor Panel 44,led-dance-floor,LED Dance Floor,LED Panels,assets/img/light/5.jpg,Modular LED dance floor systems with durable panels and event-ready visuals.
moka-led-screen-45,MOKA Matrix LED Screen Panel 45,led-screen,LED Screen,LED Panels,assets/img/light/02.jpg,Rental-ready LED screen modules for stage backdrops and branded content.
